ID,Title,Question,Answer,Chapter
450,Analyse des titres de participation,Quelles sont les deux principales méthodes d’analyse des titres de participation?,L'analyse fondamentale et l'analyse technique.,13
451,Analyse fondamentale,En quoi consiste l'analyse fondamentale?,"Elle évalue la conjoncture des marchés financiers, de l'économie et des entreprises pour déterminer la valeur intrinsèque d'un titre.",13
452,Objectif de l'analyse fondamentale,Quel est l'objectif de l'analyse fondamentale?,Comparer la valeur intrinsèque d'un titre à son cours actuel pour déterminer s'il est surévalué ou sous-évalué.,13
453,Facteurs de l'analyse fondamentale,Quels facteurs l’analyse fondamentale prend-elle en compte?,Les facteurs économiques (comme les perspectives économiques) et industriels (comme la croissance sectorielle) ainsi que la rentabilité de l'émetteur.,13
454,Analyse technique vs analyse fondamentale,Comment l'analyse technique diffère-t-elle de l'analyse fondamentale?,"L'analyse technique étudie le comportement des cours passés pour prévoir leur évolution future, sans se baser sur les caractéristiques fondamentales du titre.",13
455,Analyse technique,Que cherche à identifier un analyste technique dans les cours des actions?,Des modèles récurrents indiquant l’évolution future des cours.,13
456,Hypothèse des marchés efficients,Qu'est-ce que l'hypothèse des marchés efficients?,Elle soutient que le cours d'une action reflète toute l'information disponible et constitue la meilleure estimation de sa valeur réelle.,13
457,Théorie de la marche au hasard,Quelle est la théorie de la marche au hasard et son implication pour l'analyse technique?,"Elle affirme que les fluctuations de cours sont aléatoires et ne révèlent rien sur les mouvements futurs, remettant en cause l'utilité de l'analyse technique.",13
458,Hypothèse des attentes rationnelles,Qu’est-ce que l’hypothèse des attentes rationnelles?,"Les individus sont rationnels, utilisent toute information disponible et peuvent éviter les erreurs passées.",13
459,Facteurs macroéconomiques,Quels sont les trois facteurs macroéconomiques principaux qui influent sur les attentes des investisseurs?,"La politique budgétaire, la politique monétaire et l'inflation.",13
460,Politique budgétaire,Comment la politique budgétaire affecte-t-elle les marchés financiers?,Elle influence les résultats économiques et la rentabilité des entreprises par les dépenses publiques et les taux d'imposition.,13
461,Politique budgétaire expansionniste,Qu’est-ce qu’une politique budgétaire expansionniste?,Une politique visant à stimuler l'économie par la réduction des impôts et l'augmentation des dépenses.,13
462,Politique monétaire,Comment la politique monétaire affecte-t-elle les marchés boursiers?,"Elle influe sur les taux d'intérêt et les bénéfices des entreprises, impactant directement les cours des titres.",13
